Product,Shop,Category,Model,Model Number,Quantity,Cost Price,Sales Price
Vivo - V7+ Normal Case,Mobi-Point,Back Case,Vivo - V7+ Normal Case,,0,0,0
Vivo - V7 Normal Case,Mobi-Point,Back Case,Vivo - V7 Normal Case,,1,0,0
Vivo - V15 Normal Case,Mobi-Point,Back Case,Vivo - V15 Normal Case,,0,0,0
Vivo - V17 Normal Case,Mobi-Point,Back Case,Vivo - V17 Normal Case,,2,0,0
Vivo - V11 Normal Case,Mobi-Point,Back Case,Vivo - V11 Normal Case,,0,0,0
Vivo - V9 Normal Case,Mobi-Point,Back Case,Vivo - V9 Normal Case,,2,0,0
Vivo - V19 Normal Case,Mobi-Point,Back Case,Vivo - V19 Normal Case,,0,0,0
Vivo - V10 Normal Case,Mobi-Point,Back Case,Vivo - V10 Normal Case,,1,0,0
Vivo - V20 Normal Case,Mobi-Point,Back Case,Vivo - V20 Normal Case,,2,0,0
Vivo - V20 PRO Normal Case,Mobi-Point,Back Case,Vivo - V20 PRO Normal Case,,0,0,0
Vivo - V20 SE Normal Case,Mobi-Point,Back Case,Vivo - V20 SE Normal Case,,0,0,0
Vivo - V1 Normal Case,Mobi-Point,Back Case,Vivo - V1 Normal Case,,2,0,0
Vivo - S1 Normal Case,Mobi-Point,Back Case,Vivo - S1 Normal Case,,2,0,0
Vivo - Z1X Normal Case,Mobi-Point,Back Case,Vivo - Z1X Normal Case,,2,0,0
Vivo - S1 PRO Normal Case,Mobi-Point,Back Case,Vivo - S1 PRO Normal Case,,2,0,0
Vivo - Y51 Normal Case,Mobi-Point,Back Case,Vivo - Y51 Normal Case,,0,0,0
Vivo - Y50 Normal Case,Mobi-Point,Back Case,Vivo - Y50 Normal Case,,2,0,0
Vivo - Y12 Normal Case,Mobi-Point,Back Case,Vivo - Y12 Normal Case,,1,0,0
Vivo - Y16 Normal Case,Mobi-Point,Back Case,Vivo - Y16 Normal Case,,0,0,0
Vivo - Y20I Normal Case,Mobi-Point,Back Case,Vivo - Y20I Normal Case,,2,0,0
Vivo - Y20 Normal Case,Mobi-Point,Back Case,Vivo - Y20 Normal Case,,2,0,0
Vivo - Y83 Normal Case,Mobi-Point,Back Case,Vivo - Y83 Normal Case,,1,0,0
Vivo - Y91 Normal Case,Mobi-Point,Back Case,Vivo - Y91 Normal Case,,4,0,0
Vivo - Y91i Normal Case,Mobi-Point,Back Case,Vivo - Y91i Normal Case,,4,0,0
Vivo - Y90 Normal Case,Mobi-Point,Back Case,Vivo - Y90 Normal Case,,2,0,0
Vivo - Y91 C Normal Case,Mobi-Point,Back Case,Vivo - Y91 C Normal Case,,2,0,0
Vivo - Y95 Normal Case,Mobi-Point,Back Case,Vivo - Y95 Normal Case,,2,0,0
Vivo - Y93 Normal Case,Mobi-Point,Back Case,Vivo - Y93 Normal Case,,2,0,0
Vivo - Y71 Normal Case,Mobi-Point,Back Case,Vivo - Y71 Normal Case,,0,0,0
Vivo - Y69 Normal Case,Mobi-Point,Back Case,Vivo - Y69 Normal Case,,0,0,0
Vivo - Y15 Normal Case,Mobi-Point,Back Case,Vivo - Y15 Normal Case,,1,0,0
Vivo - Y17 Normal Case,Mobi-Point,Back Case,Vivo - Y17 Normal Case,,1,0,0
Vivo - V7+ Leather Case,Mobi-Point,Back Case,Vivo - V7+ Leather Case,,0,0,0
Vivo - V7 Leather Case,Mobi-Point,Back Case,Vivo - V7 Leather Case,,0,0,0
Vivo - V15 Leather Case,Mobi-Point,Back Case,Vivo - V15 Leather Case,,0,0,0
Vivo - V17 Leather Case,Mobi-Point,Back Case,Vivo - V17 Leather Case,,1,0,0
Vivo - V11 Leather Case,Mobi-Point,Back Case,Vivo - V11 Leather Case,,0,0,0
Vivo - V9 Leather Case,Mobi-Point,Back Case,Vivo - V9 Leather Case,,0,0,0
Vivo - V19 Leather Case,Mobi-Point,Back Case,Vivo - V19 Leather Case,,0,0,0
Vivo - V10 Leather Case,Mobi-Point,Back Case,Vivo - V10 Leather Case,,0,0,0
Vivo - V20 Leather Case,Mobi-Point,Back Case,Vivo - V20 Leather Case,,0,0,0
Vivo - V20 PRO Leather Case,Mobi-Point,Back Case,Vivo - V20 PRO Leather Case,,0,0,0
Vivo - V20 SE Leather Case,Mobi-Point,Back Case,Vivo - V20 SE Leather Case,,0,0,0
Vivo - V1 Leather Case,Mobi-Point,Back Case,Vivo - V1 Leather Case,,0,0,0
Vivo - S1 Leather Case,Mobi-Point,Back Case,Vivo - S1 Leather Case,,2,0,0
Vivo - Z1X Leather Case,Mobi-Point,Back Case,Vivo - Z1X Leather Case,,2,0,0
Vivo - S1 PRO Leather Case,Mobi-Point,Back Case,Vivo - S1 PRO Leather Case,,2,0,0
Vivo - Y51 Leather Case,Mobi-Point,Back Case,Vivo - Y51 Leather Case,,0,0,0
Vivo - Y50 Leather Case,Mobi-Point,Back Case,Vivo - Y50 Leather Case,,0,0,0
Vivo - Y12 Leather Case,Mobi-Point,Back Case,Vivo - Y12 Leather Case,,2,0,0
Vivo - Y16 Leather Case,Mobi-Point,Back Case,Vivo - Y16 Leather Case,,0,0,0
Vivo - Y20I Leather Case,Mobi-Point,Back Case,Vivo - Y20I Leather Case,,0,0,0
Vivo - Y20 Leather Case,Mobi-Point,Back Case,Vivo - Y20 Leather Case,,0,0,0
Vivo - Y83 Leather Case,Mobi-Point,Back Case,Vivo - Y83 Leather Case,,0,0,0
Vivo - Y91 Leather Case,Mobi-Point,Back Case,Vivo - Y91 Leather Case,,0,0,0
Vivo - Y91i Leather Case,Mobi-Point,Back Case,Vivo - Y91i Leather Case,,0,0,0
Vivo - Y90 Leather Case,Mobi-Point,Back Case,Vivo - Y90 Leather Case,,0,0,0
Vivo - Y91 C Leather Case,Mobi-Point,Back Case,Vivo - Y91 C Leather Case,,0,0,0
Vivo - Y95 Leather Case,Mobi-Point,Back Case,Vivo - Y95 Leather Case,,0,0,0
Vivo - Y93 Leather Case,Mobi-Point,Back Case,Vivo - Y93 Leather Case,,0,0,0
Vivo - Y71 Leather Case,Mobi-Point,Back Case,Vivo - Y71 Leather Case,,0,0,0
Vivo - Y69 Leather Case,Mobi-Point,Back Case,Vivo - Y69 Leather Case,,0,0,0
Vivo - Y15 Leather Case,Mobi-Point,Back Case,Vivo - Y15 Leather Case,,0,0,0
Vivo - Y17 Leather Case,Mobi-Point,Back Case,Vivo - Y17 Leather Case,,0,0,0
Samsung - A50 S Blach,Mobi-Point,Flip Case,Samsung - A50 S Blach,,1,0,0
Samsung - A51 Blach,Mobi-Point,Flip Case,Samsung - A51 Blach,,1,0,0
Samsung - A21 S Blach,Mobi-Point,Flip Case,Samsung - A21 S Blach,,1,0,0
Samsung - A20 Blach,Mobi-Point,Flip Case,Samsung - A20 Blach,,1,0,0
Samsung - A30 Blach,Mobi-Point,Flip Case,Samsung - A30 Blach,,1,0,0
Samsung - M11 Blach,Mobi-Point,Flip Case,Samsung - M11 Blach,,1,0,0
Samsung - M10 S Blach,Mobi-Point,Flip Case,Samsung - M10 S Blach,,1,0,0
Samsung - M31 S Blach,Mobi-Point,Flip Case,Samsung - M31 S Blach,,1,0,0
Samsung - M30 S Blue,Mobi-Point,Flip Case,Samsung - M30 S Blue,,1,0,0
Samsung - M21 Blue,Mobi-Point,Flip Case,Samsung - M21 Blue,,1,0,0
Poco - C3 Gold,Mobi-Point,Flip Case,Poco - C3 Gold,,1,0,0
Redmi - 7 PRO Blue,Mobi-Point,Flip Case,Redmi - 7 PRO Blue,,1,0,0
Redmi - 7 Blue,Mobi-Point,Flip Case,Redmi - 7 Blue,,1,0,0
Redmi -Note 8 Blue,Mobi-Point,Flip Case,Redmi -Note 8 Blue,,1,0,0
Redmi -Note 8 Pro Blach,Mobi-Point,Flip Case,Redmi -Note 8 Pro Blach,,1,0,0
Redmi -Note 4 Blue,Mobi-Point,Flip Case,Redmi -Note 4 Blue,,1,0,0
Redmi -Note 9 Pouer Blach,Mobi-Point,Flip Case,Redmi -Note 9 Pouer Blach,,1,0,0
Redmi -Note 9 bune Blach,Mobi-Point,Flip Case,Redmi -Note 9 bune Blach,,1,0,0
Redmi -Note 9A Blach,Mobi-Point,Flip Case,Redmi -Note 9A Blach,,1,0,0
Redmi -Note 9 Grey,Mobi-Point,Flip Case,Redmi -Note 9 Grey,,1,0,0
Redmi -Note 9 Blach,Mobi-Point,Flip Case,Redmi -Note 9 Blach,,1,0,0
Redmi -Note 9 PRO Blach,Mobi-Point,Flip Case,Redmi -Note 9 PRO Blach,,1,0,0
Vivo - V20 Blach,Mobi-Point,Flip Case,Vivo - V20 Blach,,1,0,0
Vivo - V20 SE Blue,Mobi-Point,Flip Case,Vivo - V20 SE Blue,,1,0,0
Vivo - Y20 Blach,Mobi-Point,Flip Case,Vivo - Y20 Blach,,1,0,0
Vivo - Y20 i Blach,Mobi-Point,Flip Case,Vivo - Y20 i Blach,,1,0,0
Vivo - Y50 Blach,Mobi-Point,Flip Case,Vivo - Y50 Blach,,1,0,0
Vivo - Y15 Blach,Mobi-Point,Flip Case,Vivo - Y15 Blach,,1,0,0
Vivo - Y17 Blue,Mobi-Point,Flip Case,Vivo - Y17 Blue,,1,0,0
Vivo - Y95 Blach,Mobi-Point,Flip Case,Vivo - Y95 Blach,,1,0,0
Vivo - Y93 Blach,Mobi-Point,Flip Case,Vivo - Y93 Blach,,1,0,0
Realme - 7i Blue,Mobi-Point,Flip Case,Realme - 7i Blue,,1,0,0
Realme - C15 Gold,Mobi-Point,Flip Case,Realme - C15 Gold,,1,0,0
Realme - 5 Blue,Mobi-Point,Flip Case,Realme - 5 Blue,,1,0,0
Realme - 5i Blue,Mobi-Point,Flip Case,Realme - 5i Blue,,1,0,0
Realme - N 10 Blue,Mobi-Point,Flip Case,Realme - N 10 Blue,,1,0,0
Oppo - A31 Blach,Mobi-Point,Flip Case,Oppo - A31 Blach,,1,0,0
Oppo - A9 Blach,Mobi-Point,Flip Case,Oppo - A9 Blach,,1,0,0
Oppo - A15 Punk,Mobi-Point,Flip Case,Oppo - A15 Punk,,1,0,0
Oppo - F17 Blach,Mobi-Point,Flip Case,Oppo - F17 Blach,,1,0,0
Oppo - F17 PRO Brown,Mobi-Point,Flip Case,Oppo - F17 PRO Brown,,1,0,0
Oppo - A8 Blach,Mobi-Point,Flip Case,Oppo - A8 Blach,,1,0,0
Moto - E4 Plus Blach,Mobi-Point,Flip Case,Moto - E4 Plus Blach,,1,0,0
Iphone - 5 Red,Mobi-Point,Flip Case,Iphone - 5 Red,,1,0,0
Samsung - A30,Mobi-Point,Tempered Glass,Samsung - A30,,6,0,0
Samsung - A20,Mobi-Point,Tempered Glass,Samsung - A20,,5,0,0
Samsung - A50,Mobi-Point,Tempered Glass,Samsung - A50,,5,0,0
Samsung - A21S,Mobi-Point,Tempered Glass,Samsung - A21S,,1,0,0
Samsung - A70S,Mobi-Point,Tempered Glass,Samsung - A70S,,2,0,0
Samsung - A11,Mobi-Point,Tempered Glass,Samsung - A11,,1,0,0
Samsung - A81,Mobi-Point,Tempered Glass,Samsung - A81,,0,0,0
Samsung - A71,Mobi-Point,Tempered Glass,Samsung - A71,,2,0,0
Samsung - M10,Mobi-Point,Tempered Glass,Samsung - M10,,2,0,0
Samsung - M51,Mobi-Point,Tempered Glass,Samsung - M51,,2,0,0
Samsung - M30,Mobi-Point,Tempered Glass,Samsung - M30,,5,0,0
Samsung - M31,Mobi-Point,Tempered Glass,Samsung - M31,,6,0,0
Samsung - M30S,Mobi-Point,Tempered Glass,Samsung - M30S,,5,0,0
